mal_id,title,source,episodes,synopsis,year,season,producers,genres,studios,demographics,themes,rating,sequel,favorites,score,wc,dropped,forum,type
3010,Kaiketsu Zorro,Novel,52.0,"Diego Vega returns from his study trip to discover his homeland is under the army's dictatorship. Diego, refusing to watch idly, disguises himself as Zorro to protect the weak and oppressed. Diego is not a coward but he is unable to win the affections of his sweetheart, Lolita, who is attracted to other more noble men. Diego serenades Lolita as Zorro and fights the evils of his homeland, hoping to capture her heart.",1996.0,spring,['TOHO'],['Adventure'],['Ashi Productions'],[],['Historical'],PG-13 - Teens 13 or older,False,86,7.26,9411,693,0,
3012,Gekitou! Crush Gear Turbo,Original,68.0,After losing almost all their members the Tobita Crush Gear club is facing extinction. Kouya who dreams of being a Crush Gear Fighting Champion doesn't want to see the club become extinct and will do whatever he can to keep the club running and become a Cush Gear Champion.,2001.0,fall,['Bandai Visual'],['Sports'],['Sunrise'],[],[],G - All Ages,False,42,6.96,5506,572,0,
3020,Gu-Gu Ganmo,Manga,50.0,"The series follows in the footsteps of manga such as Doraemon and Obake no Q-Taro in that the alien Ganmo (who resembles a chicken wearing sneakers) sets out to help his adopted human friend Hanpeita. The series follows the antics of the duo as they find themselves in the middle of much comedic mischief.

One morning Tsukune Tsukuda, out of spite, lets her brother’s pet bird go. But later she has misgivings, and comes home with an egg she has found to give to her brother, Hapeita.

Hanpeita isn't all too pleased with the big, odd-looking egg. However, in the meantime it swells up, breaks its shell, and out comes a strange bird-like creature named Ganmo. It speaks like a human being, and comes to live with the Tsukudas.

Not wanting to be a mere freeloader, Ganmo takes the initiative to run errands, clean the house, etc…yet he blunders at everything he does. Ganmo the tries to clear his reputation, but his efforts only ends causing more and more confusion.

One day a charming girl comes moving in the house next to the Tsukudas. Her pet is a stange mina, named Deja-vu. It is foppish but has a poisonous tongue. And it always teases Ganmo because of its odd-looking.

Thus, the world around Ganmo gets into a mess more and more.

(Source: Wikipedia)",1984.0,spring,[],['Comedy'],['Toei Animation'],['Shounen'],['School'],G - All Ages,False,4,6.73,684,196,0,
3021,Yume Senshi Wingman,Manga,47.0,"Hirono Kenta is your average geeky junior high school student. His childhood obsession has always been Tokusatsu and anime. In fact, he fancies himself as a ""Hero of Justice"" and often is seen running around in a makeshift costume of his own design called ""Wing Man."" Most of his fellow classmates thinks he's just a crazy otaku, but his childhood friend Ogawa Miku thinks he's a noble spirit.

One day as Hirono is walking to school, a beautiful and voluptuous girlliterally drops out of the sky and into his life. Hirono, bewildered by the event, none-the-less takes the girl to his home to recuperate (this is his duty as a ""Hero of Justice""). He also keeps the ""Dream Note"" so that he can transpose his favorite ""Wing Man"" costume designs into it.

Later, Hirono is confronted by the girl who reveals herself to be Yume Aoi, Princess of the Dreamscape called Botoreem. Her domain has been conquered by the power mad despot, Rimeru and his armies of monstrous ""Seed Men."" She barely escaped her domain with the power artifact known as the ""Dream Note."" The ""Dream Note"" enables its possessor to create anything they desire by merely drawing or writing information within its pages. Rimeru seeks to steal it to become Master of the Universe. She demands that Hirono give her back the book, but Hirono had already begun drawing into the book (mystically linking himself to it).

Hirono soon discovers that his designs and notes on Wing Man become reality and he in turn becomes his own creation. Using these powers and abilities, he and Aoi begin their strange and amazing adventure. Along the way, Hirono inadvertently involves all of his friends, especially Miku in his quest to help Aoi free her people and save her father.

Rimeru sends his various minions to Earth's dimension to retrieve the book. One his henchmen is the noble yet devious Kitakura who goes as far as infiltrating Hirono's junior high school masquerading as a teacher.

(Source: AniDB)",1984.0,winter,['TV Asahi'],"['Action', 'Comedy', 'Romance']",['Toei Animation'],['Shounen'],"['School', 'Super Power']",R+ - Mild Nudity,False,15,6.72,1385,274,0,
3022,Haai Step Jun,Manga,45.0,"Jun is a very intelligent little girl who spends her time arranging all kinds of inventions. It goes until creating two small robots, Kichinosuke and Yukinojo, who become her best friends. Because of her intelligence, Jun gets into college at a young age and she meets and falls in love with a boy from her class who's called Zero. Zero is interested in motorbikes and not in school and is accustomed to not attending the courses. He got delayed in his schooling and thus is found much older than the other students and is there for humiliated for it. On the other hand Jun is way too young and little to be in college and is made fun of. Thanks to their common passion for mechanics, Zero will sympathize with Jun and will agree to dine with her in Harbor, the restaurant where Jun's parents live. This is long series of fun adventures and arguments that little Jun will make to allure her charming prince, who's twice older than her.

(Source: ANN)",1985.0,spring,[],"['Action', 'Romance', 'Sci-Fi']",['Toei Animation'],[],['School'],PG-13 - Teens 13 or older,False,3,6.76,914,194,0,
3023,Esper Mami,Manga,119.0,"Mami Sakura used to be a normal junior high school student, but she happened to acquire supernatural powers. Using her powers and with the help of her best friend, Mr. Takahata, she solves mysterious occurrences. When she senses someone needs help, she uses the ""Teleportation Gun"" and transports herself there. She then saves the world in trouble with her psychic powers, such as telekinesis and telepathy.

(Source: Wikipedia)",1987.0,spring,[],"['Comedy', 'Supernatural', 'Ecchi']",['Shin-Ei Animation'],['Shounen'],"['School', 'Super Power']",PG-13 - Teens 13 or older,False,10,6.79,1054,288,0,
3024,Ribbon no Kishi,Manga,52.0,"In the kingdom of Silverland, Prince Sapphire holds a big secret: he is actually a girl. When Sapphire was born, she accidentally received both the blue heart of a boy and the pink heart of a girl. To protect the kingdom from the evil Duke Duralumin, who is the successor to the throne, Sapphire leads a double life, posing as a boy as women are not allowed to reign.

God assigns trainee angel Tink to retrieve Sapphire's boy heart, but she refuses to let go of it. As the Duke schemes to usurp the throne, Sapphire finds herself in an even worse predicament in the clash of her two identities—she falls for Prince Franz Charming from the neighboring kingdom. Sapphire and Tink now embark on exciting adventures, but along the way, they must fight various enemies to uphold the throne at all costs.

[Written by MAL Rewrite]",1967.0,spring,['Fuji TV'],"['Action', 'Fantasy', 'Mystery', 'Romance']",['Mushi Production'],['Shoujo'],['Crossdressing'],PG-13 - Teens 13 or older,True,19,6.96,2667,577,29,
3035,Chouon Senshi Borgman,Other,35.0,"Sonic Soldier Borgman is a science fiction that comebines super sentai with non-gattai. It features a sentai-like three members team that fight an organization known as Youma. Features three characters with three basic ranger colors: Pink, Blue and Green. Featuring three main characters: Chuck, Ryo and Anise, Ryo is the leader, Chuck and Anise are teachers at a public school. Sometimes, the students help or make troubles to the Borgman somehow, some even know the Borgman secret identities. Ryo has a talking ""modern"" blue motorcycle that can upgrade itself. The transformation code is ""Borg. Get On"". Each member has a personal cannon that matches his/her armor color that appears only to finish the monster they fight.",1988.0,spring,"['Yomiko Advertising', 'TOHO', 'Nippon Television Network']","['Action', 'Fantasy', 'Sci-Fi']",['Ashi Productions'],[],['Mythology'],PG-13 - Teens 13 or older,False,7,6.64,1293,246,0,
3036,Tobe! Isami,Original,50.0,"Isami Hanaoka is just a fifth grader who happens to be a descendant of the Shinsengumi. Together with fellow descendants and classmates Soushi Yukimi and Toshi Tsukikage, she discovers in the basement of her home, strange artifacts left behind by their ancestors as well as a message urging them to ""Fight the evil Kurotengu organization.""  

(Source: ANN)",1995.0,spring,[],"['Action', 'Adventure', 'Comedy', 'Romance']",['Group TAC'],[],[],PG-13 - Teens 13 or older,False,12,7.39,1400,250,0,
3044,Tetsuwan Atom (1980),Manga,52.0,"Set in a future where machines have advanced to the point of autonomy and become a point of major contention in the political and social realms, Astro Boy (1980) chronicles the struggles of a crime-fighting young robot named Atom. Created in the image of his enigmatic inventor's deceased son, Atom survives rough beginnings, getting saved and adopted by the benevolent Dr. Ochanomizu. In his pursuit of justice, Atom finds himself in the midst of numerous clashes with various factions, and is often faced with the harsh realities of the world.

[Written by MAL Rewrite]",1980.0,fall,['Nippon Television Network'],"['Action', 'Adventure', 'Sci-Fi']",['Tezuka Productions'],['Shounen'],[],G - All Ages,True,116,7.24,9863,1235,32,
